	mean_Ring 	mean_Trophozoite 	mean_Schizont 	reaction
CE	0.0	0.20999999999999996	0.0	2a
DAG	12.236666666666663	123.95222222222223	329.83000000000004	2a
FreeChol	0.0	167.88777777777761	136.39	2a
LPC	0.0	0.0	0.0	2a
PC	77.2833333333333	629.9655555555555	1576.2333333333333	2a
PE	75.84666666666666	324.95555555555563	607.5966666666666	2a
PG	2.6333333333333333	32.10666666666667	101.16333333333334	2a
PS	7.033333333333333	90.95111111111109	107.47666666666666	2a
TAG	7.213333333333335	35.1888888888889	174.80999999999995	2a
Cer	0.1933333333333332	2.463333333333332	1.54	2a
DHSM	0.0	1.0555555555555567	2.5300000000000002	2a
SM	0.006666666666666599	20.08333333333336	1.2700000000000005	2a
14:0	0.07999989726414415	0.06656977495022892	0.06795152879164226	2b
18:0	0.10007859292971841	0.11768671807777097	0.10798513300357697	2b
16:0	0.1088193595446747	0.14167723030314383	0.13830311791004904	2b
14:1	0.06959583714312133	0.058221041413337705	0.0689991348946047	2b
18:1	0.20060460051162454	0.18071516367601373	0.21252232406615457	2b
16:1	0.11705980254168509	0.10590170069904849	0.11937365675499557	2b
20:0	0.07936909910928013	0.06540178198376229	0.06783435486790662	2b
20:1	0.11611463266794746	0.10417176278773982	0.11670362599365183	2b
24:1	0.00010273585584104673	0.0029424559935701438	7.959214535729832e-05	2b
24:2	0.00025683963960261764	0.0011952144827582758	0.00013959237801126182	2b
25:0	2.054717116820921e-05	0.0002537298541787685	6.000023265396332e-05	2b
15:0		9.622489479833016e-06		2b
17:0		6.837031998829098e-05	8.571461807709049e-06	2b
18:2		0.001640887679718982	0.004135730322219616	2b
22:0		7.849925628285694e-05	1.530618179948044e-05	2b
23:0		0.0001732048106370038		2b
24:0		0.002633523436586026	4.346955631052445e-05	2b
24:3		5.773493687900124e-05	3.061236359896078e-06	2b
25:1		6.786387317356332e-05		2b
26:0		9.723778842779155e-05		2b
26:1		0.00018738532144938936	4.224506176656598e-05	2b
26:2		0.00019700781092922405	5.204101811823351e-05	2b
19:0			5.51022544781296e-06	2b
34:3	0.004489556900253758	0.0033177330832836584	0.005741654916621105	2b
36:3	0.005907311710860211	0.009874699993568114	0.0105024897035315	2b
36:4	0.005773755098266845	0.01067286017357958	0.008638809007626763	2b
36:5	0.0008732547746488999	0.0026872067989471976	0.0024753157206119777	2b
38:3	0.0017465095492978002	0.00310350608065368	0.0021893962445976825	2b
38:4	0.00030820756752313744	0.007091774746637321	0.004842263674083634	2b
38:5	0.013335114088167916	0.009383953030096604	0.006904924733381618	2b
38:6	0.0	0.0033106428278774636	0.002276335357218731	2b
38:7	0.0001027358558410474	0.0	0.00047632837759983154	2b
40:4	0.0	0.00013977932086495034	0.0002026538470251211	2b
40:5	0.0019828020177322086	0.004033848879309164	0.002040620157506733	2b
40:6	0.0	0.0018505566610164074	0.0019542932921576633	2b
40:7	0.0012944717835971934	0.0008189244994153067	0.0007977581953889207	2b
38:4	0.0	0.00015649206575097697	0.0007628601008861055	2b
38:5	0.0	0.00026892325862061094	0.00038081780317107347	2b
36:3	0.01841026536671564	0.010269222062241297	0.008275746375343085	2b
36:4	0.02677296403217687	0.018463531524541645	0.009116361879770551	2b
36:5	0.0	0.0048527733787244705	0.0029204194873408687	2b
38:3	0.0	0.0	0.00046714466852014317	2b
38:4	0.019232152213444015	0.009295831284333922	0.00563512389129672	2b
38:5	0.0042327172606511365	0.012450994940089867	0.00639492275582293	2b
38:6	0.0	0.0036935166198118936	0.0021912329864136205	2b
40:5	0.0	0.0024886796475737894	0.0022861313135703995	2b
40:6	0.0	0.0014221026557564508	0.0016438839252642	2b
38:4	0.0	0.006947943851254541	0.0024961321278592716	2b
38:5	0.0	0.001488953635300558	0.0	2b
40:5	0.0	0.0029703105683801943	0.000505716246654834	2b
40:6	0.004633387098431223	0.004115893263295113	0.0015110262672447096	2b
54:6	0.01354058579985001	0.007003653000874636	0.0011791882458319738	2b
56:6	0.005342264503734448	0.007877780203095297	0.0009324525952243489	2b
